"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol"
"220327_at",-2.55946357408571,-0.0129785411858974,-17.4947523694275,1.23888898184034e-38,5.69212227580844e-36,77.3059852302147,"VGLL3"
"222304_x_at",-1.64889498014945,0.00223479997435897,-17.4533751790611,1.58355491955711e-38,7.21507210223207e-36,77.0626642817219,"OR7E47P"
"228548_at",-1.90419328954066,-0.00870885969871795,-17.4209291947459,1.91991662457415e-38,8.67532573955305e-36,76.8717274172879,"RAP1A"
"219452_at",-1.99103691820439,-0.0161519045320513,-17.3650200582513,2.67634183804734e-38,1.19941795078064e-35,76.5424352204396,"DPEP2"
"226694_at",-1.87883799943736,-0.00794726035897436,-17.3493443083296,2.9377572091263e-38,1.30586890576407e-35,76.4500451026369,"PALM2AKAP2"
"228766_at",-3.55177184745274,-0.0367914055064103,-17.2271521490407,6.08018029250085e-38,2.68091820558455e-35,75.7289180563702,"CD36"
"221747_at",-2.2304233450967,-0.0189715041474359,-17.2020205418041,7.06280175181521e-38,3.08926948624397e-35,75.5803944681892,"TNS1"
"227419_x_at",-2.40803887203297,-0.0149546220192308,-17.1860448721129,7.76873562940178e-38,3.37107635347256e-35,75.4859443370621,"PLAC9"
"229172_at",-1.82839086175604,-0.0120102000705128,-17.1765117112896,8.22327504777701e-38,3.51255908779069e-35,75.4295695815249,"HSPA12B"
"201540_at",-3.01315996841538,-0.0171947711346154,-17.1567974460005,9.2496616236743e-38,3.92035076956893e-35,75.3129563869611,"FHL1"
"215350_at",-2.47463974741319,-0.0126267679807692,-17.1405278264811,1.01928448185414e-37,4.25415107216605e-35,75.2166863639578,"SYNE1"
"1556325_at",-2.53930270083516,-0.00312550258974359,-17.1302543278204,1.08375210084403e-37,4.48895046315509e-35,75.1558812668397,"FILIP1"
"238297_at",-2.52044871585934,-0.00528900487179488,-17.1268587779576,1.10594664313692e-37,4.54643854988804e-35,75.1357816742811,NA
"234996_at",-2.31118746059341,-0.00166172173076923,-17.0855352273931,1.41554722917897e-37,5.73296627817485e-35,74.8910692283082,"CALCRL"
"224861_at",-1.54700084705275,-0.00693774013461538,-17.0791219106158,1.47084609388501e-37,5.91312574876196e-35,74.8530735461854,"GNAQ"
"212071_s_at",-1.41994297206593,-0.00447538580769231,-17.0751885620839,1.50582817068383e-37,5.96602574145932e-35,74.8297681890109,"SPTBN1"
"204677_at",-2.60747564990769,-0.0140766513846154,-17.0732427606038,1.5234408907367e-37,5.99238350367116e-35,74.8182385531765,"CDH5"
"37512_at",-3.46135202885274,-0.0270463307692308,-17.0640291106881,1.60968687138036e-37,6.28640212090864e-35,74.7636384099748,"HSD17B6"
"203865_s_at",-2.37509205093626,-0.0131789531538462,-17.0428409277466,1.82706710209783e-37,7.03485167656331e-35,74.6380416977607,"ADARB1"
"230469_at",-3.02115399207472,-0.0087225042948718,-17.0312300859258,1.9584381514119e-37,7.48794447052067e-35,74.5691954640442,"RTKN2"
"229369_at",-1.13126864585714,-0.00481306377564103,-17.0183648676178,2.11509764254617e-37,8.03076136154249e-35,74.4928941685564,"VSIG2"
"229844_at",-1.60491244694505,-0.00655135346153846,-16.9968701498958,2.40538983650752e-37,9.06997857317577e-35,74.3653724342755,"FOXP1"
"210299_s_at",-3.52692374603956,-0.0235774378974359,-16.9919000995502,2.47801227151907e-37,9.27981650310308e-35,74.335879420448,"FHL1"
"227826_s_at",-2.78835420494066,0.00136830248717948,-16.986462157595,2.55999360360927e-37,9.52160886240388e-35,74.3036067776034,NA
"32625_at",-1.8483268935956,-0.0204072388846154,-16.9554734074358,3.08189287822645e-37,1.13853035889886e-34,74.1196357731695,"NPR1"
"1555497_a_at",-3.51560901126593,-0.000267387115384607,-16.9512988214471,3.15991892224824e-37,1.15952058438874e-34,74.0948445013892,"CYP4B1"
"227480_at",-3.60947970278241,-0.0154837528846154,-16.9495014357164,3.19412066891953e-37,1.16167837910186e-34,74.0841699301331,"SUSD2"
"239262_at",-2.35473528974286,-0.0120748335448718,-16.9487622802096,3.20829328293334e-37,1.16167837910186e-34,74.079780025808,NA
"205700_at",-3.31556609716923,-0.0293875825641026,-16.9342119042506,3.50048866864215e-37,1.25913959182901e-34,73.9933520748443,"HSD17B6"
"213247_at",-1.85446794847253,-0.0165316855576923,-16.9305106699477,3.57898158371259e-37,1.27895959535612e-34,73.9713633999736,"SVEP1"
"235666_at",-2.87919720315604,-0.0104861494102564,-16.9242960473734,3.7147674720779e-37,1.31886306192116e-34,73.9344395841954,"ITGA8"
"219689_at",-2.47654063088571,-0.00491147928846154,-16.8767139966395,4.94097307716148e-37,1.74288840641164e-34,73.6515949719614,"SEMA3G"
"231773_at",-1.89081011599121,-0.0203409906923077,-16.8649114199202,5.30343079078705e-37,1.85875050311719e-34,73.5813983865007,"ANGPTL1"
"221272_s_at",-1.62851954365714,-0.0056911256923077,-16.8631035163173,5.36125991890573e-37,1.86705022972083e-34,73.5706444364323,"C1orf21"
"228042_at",-1.29118490427692,-0.00687600465384615,-16.8585630410683,5.50929957515116e-37,1.89447141051188e-34,73.5436347814897,"ADPRH"
"235228_at",-2.0987309607978,0.00591702669871795,-16.8506528081752,5.77706927215047e-37,1.97413289034267e-34,73.4965743448353,"CCDC85A"
"230250_at",-3.10400044985494,-0.00840700312820513,-16.8486560522036,5.84670051756991e-37,1.97951054444268e-34,73.4846939573157,"PTPRB"
"202674_s_at",-2.16300433694505,-0.00190310673076923,-16.8481291009755,5.86521642797831e-37,1.97951054444268e-34,73.4815586078853,"LMO7"
"218723_s_at",-2.52840036947472,-0.0256008186346154,-16.8351498730556,6.34031618985556e-37,2.11376090048996e-34,73.4043230285757,"RGCC"
"204642_at",-2.02988080581978,-0.013529977974359,-16.8312383501496,6.4909276328434e-37,2.1508573837922e-34,73.3810431513872,"S1PR1"
"208634_s_at",-1.35774602023077,-0.00472887603205128,-16.8239105463119,6.78280684028167e-37,2.23403592766506e-34,73.3374264631613,"MACF1"
"228967_at",-1.68215860603077,-0.0101313605128205,-16.822834578777,6.8267590000492e-37,2.23504819357898e-34,73.3310215840806,"EIF1"
"226985_at",-1.91558171193187,-0.0179022414935897,-16.8177028120194,7.04034876116439e-37,2.29125636021823e-34,73.3004721635189,"FGD5"
"236583_at",-1.84980456581538,-0.00222048411538462,-16.7944877902511,8.09348760957403e-37,2.6184108583045e-34,73.1622378072937,"GIMAP1"
"241560_at",-3.2698631245934,-0.00445383662820512,-16.7600858507446,9.95168020752703e-37,3.20063597262671e-34,72.9572847036331,NA
"217781_s_at",-1.18980413956264,-0.0108220573910256,-16.7474193961851,1.07388801452623e-36,3.43361562539309e-34,72.8817911929362,"ZNF106"
"235183_at",-2.78194356785275,0.000282410249999999,-16.7244507026235,1.23291054782287e-36,3.91915024431485e-34,72.7448516198328,"FILIP1"
"205384_at",-1.95957508324395,-0.0143203561794872,-16.7177832452714,1.28335014078574e-36,4.04057343407023e-34,72.7050896786343,"FXYD1"
"206481_s_at",-2.50303934058681,-0.00456140814743591,-16.7174546331225,1.28588893923771e-36,4.04057343407023e-34,72.7031298505392,"LDB2"
"204396_s_at",-2.03566800394945,-0.00501268713461539,-16.7024521929357,1.40732162209885e-36,4.39687483932885e-34,72.613643777732,"GRK5"
